season,offense,team_off_snaps
2024,PALE,940
2020,PALF,221
2021,PALF,813
2022,PALF,822
2023,PALF,928
2024,PALF,980
2023,PALH,82
2021,PALN,68
2022,PALN,75
2024,PALN,64
2023,PAME,874
2024,PAME,851
2020,PAPT,983
2021,PAPT,1296
2022,PAPT,1108
2023,PAPT,889
2024,PAPT,1122
2020,PARM,218
2021,PARM,789
2022,PARM,869
2023,PARM,872
2024,PARM,895
2023,PASE,71
2021,PASF,783
2022,PASF,970
2023,PASF,734
2024,PASF,804
2023,PASR,80
2020,PAST,836
2021,PAST,1105
2022,PAST,1104
2023,PAST,1102
2024,PAST,1259
2020,PATE,637
2021,PATE,909
2022,PATE,974
2023,PATE,1002
2024,PATE,993
2021,PAUN,771
2022,PAUN,834
2023,PAUN,848
2024,PAUN,758
2020,PAVI,326
2021,PAVI,977
2022,PAVI,803
2023,PAVI,955
2024,PAVI,1039
2021,RIBR,984
2022,RIBR,961
2023,RIBR,927
2024,RIBR,971
2020,RIBT,327
2021,RIBT,921
2022,RIBT,942
2023,RIBT,897
2024,RIBT,939
2020,RIUN,229
2021,RIUN,860
2022,RIUN,852
2023,RIUN,900
2024,RIUN,1055
2020,SCCC,962
2021,SCCC,1010
2022,SCCC,1072
2023,SCCC,1046
2024,SCCC,1047
2020,SCCH,338
2021,SCCH,933
2022,SCCH,865
2023,SCCH,791
2024,SCCH,865
2020,SCCI,998
2021,SCCI,970
2022,SCCI,872
2023,SCCI,802
2024,SCCI,929
2020,SCCL,1091
2021,SCCL,1080
2022,SCCL,1231
2023,SCCL,1188
2024,SCCL,1221
2024,SCER,83
2020,SCFU,585
2021,SCFU,888
2022,SCFU,1118
2023,SCFU,1083
2024,SCFU,914
2022,SCLC,76
2023,SCLC,81
2021,SCNG,82
2022,SCNG,75
2023,SCNG,168
2024,SCNG,84
2020,SCPR,570
2021,SCPR,1140
2022,SCPR,879
2023,SCPR,828
2024,SCPR,931
2020,SCST,297
2021,SCST,992
2022,SCST,867
2023,SCST,792
2024,SCST,942
2020,SCUN,814
2021,SCUN,998
2022,SCUN,1020
2023,SCUN,962
2024,SCUN,1064
2020,SCWO,394
2021,SCWO,796
2022,SCWO,862
2023,SCWO,786
2024,SCWO,878
2024,SDAU,70
2023,SDBH,75
2024,SDBH,79
2024,SDNO,67
2024,SDSF,98
2020,SDST,728
2021,SDST,1157
2022,SDST,1132
2023,SDST,1055
2024,SDST,1152
2020,SDVE,329
2021,SDVE,983
2022,SDVE,796
2023,SDVE,862
2024,SDVE,1004
2020,TNAI,565
2021,TNAI,857
2022,TNAI,898
2023,TNAI,906
2024,TNAI,1016
2020,TNAP,793
2021,TNAP,995
2022,TNAP,974
2023,TNAP,997
2024,TNAP,967
2020,TNCH,376
2021,TNCH,854
2022,TNCH,892
2023,TNCH,1063
2024,TNCH,952
2023,TNCN,80
2020,TNEA,473
2021,TNEA,1054
2022,TNEA,890
2023,TNEA,820
2024,TNEA,988
2021,TNLA,75
2022,TNLA,153
2023,TNLA,89
2024,TNLA,76
2020,TNMI,778
2021,TNMI,1118
2022,TNMI,1169
2023,TNMI,1009
2024,TNMI,932
2020,TNMR,585
2021,TNMR,1070
2022,TNMR,918
2023,TNMR,969
2024,TNMR,1129
2020,TNMS,986
2021,TNMS,1029
2022,TNMS,1137
2023,TNMS,1109
2024,TNMS,1116
2020,TNTC,556
2021,TNTC,877
2022,TNTC,910
2023,TNTC,942
2024,TNTC,909
2023,TNTU,86
2020,TNUN,810
2021,TNUN,1161
2022,TNUN,1143
2023,TNUN,1088
